ID_venta,Fecha,Producto,Categoría,Talla,Color,Precio_unitario,Cantidad,Método_pago,Sucursal
VNT-1001,2025-04-23,Camisa formal,Camisa,M,Gris,11.67,5,Transferencia,Medellín
VNT-1002,2025-06-28,Camisa formal,Camisa,XS,Blanco,78.29,4,Transferencia,Bogotá
VNT-1003,2025-05-18,Short de verano,Short,XL,Azul,61.95,3,Transferencia,Cali
VNT-1004,2025-06-14,Falda corta,Falda,XL,Blanco,61.55,5,Tarjeta,Barranquilla
VNT-1005,2025-06-11,Sudadera deportiva,Sudadera,S,Negro,67.61,1,Efectivo,Cali
VNT-1006,2025-06-09,Blusa elegante,Blusa,M,Negro,54.89,1,Tarjeta,Cali
VNT-1007,2025-05-10,Vestido casual,Vestido,M,Beige,94.2,3,Transferencia,Medellín
VNT-1008,2025-02-18,Falda corta,Falda,XL,Verde,34.85,3,Transferencia,Cali
VNT-1009,2025-03-11,Falda corta,Falda,XS,Rojo,52.56,5,Transferencia,Cartagena
VNT-1010,2025-03-17,Sudadera deportiva,Sudadera,M,Rojo,18.93,3,Efectivo,Cali
VNT-1011,2025-04-18,Falda corta,Falda,M,Blanco,33.57,1,Efectivo,Barranquilla
VNT-1012,2025-04-29,Short de verano,Short,L,Beige,47.08,4,Efectivo,Bogotá
VNT-1013,2025-06-07,Pantalón jean,Pantalón,M,Azul,99.74,3,Transferencia,Bogotá
VNT-1014,2025-06-09,Chaqueta impermeable,Chaqueta,M,Blanco,23.8,2,Tarjeta,Barranquilla
VNT-1015,2025-07-20,Camisa formal,Camisa,XS,Azul,38.81,5,Efectivo,Barranquilla
VNT-1016,2025-06-04,Pantalón jean,Pantalón,XL,Blanco,94.54,4,Efectivo,Cali
VNT-1017,2025-04-05,Vestido casual,Vestido,XL,Rojo,76.79,2,Efectivo,Medellín
VNT-1018,2025-06-05,Chaqueta impermeable,Chaqueta,XL,Blanco,75.39,1,Transferencia,Bogotá
VNT-1019,2025-05-04,Camisa formal,Camisa,XS,Verde,19.28,3,Efectivo,Medellín
VNT-1020,2025-06-07,Falda corta,Falda,L,Verde,21.24,2,Transferencia,Cali
VNT-1021,2025-06-29,Falda corta,Falda,XL,Beige,63.85,2,Transferencia,Bogotá
VNT-1022,2025-01-30,Abrigo largo,Abrigo,XS,Rojo,32.55,4,Transferencia,Cartagena
VNT-1023,2025-06-20,Pantalón jean,Pantalón,XS,Beige,80.93,3,Efectivo,Cartagena
VNT-1024,2025-04-26,Chaqueta impermeable,Chaqueta,M,Verde,77.84,4,Tarjeta,Cali
VNT-1025,2025-04-16,Pantalón jean,Pantalón,L,Negro,87.93,4,Tarjeta,Cartagena
VNT-1026,2025-06-27,Falda corta,Falda,XL,Verde,56.74,4,Transferencia,Barranquilla
VNT-1027,2025-03-22,Falda corta,Falda,M,Beige,73.27,5,Transferencia,Cartagena
VNT-1028,2025-03-30,Sudadera deportiva,Sudadera,XS,Verde,83.84,3,Efectivo,Medellín
VNT-1029,2025-07-26,Camisa formal,Camisa,XL,Verde,96.21,5,Efectivo,Medellín
VNT-1030,2025-05-29,Camisa formal,Camisa,XS,Azul,64.57,4,Transferencia,Bogotá
VNT-1031,2025-03-23,Sudadera deportiva,Sudadera,M,Azul,78.91,3,Efectivo,Medellín
VNT-1032,2025-06-04,Pantalón jean,Pantalón,M,Verde,63.37,1,Transferencia,Barranquilla
VNT-1033,2025-02-06,Blusa elegante,Blusa,L,Blanco,68.46,5,Transferencia,Bogotá
VNT-1034,2025-03-22,Camisa formal,Camisa,L,Beige,51.79,4,Transferencia,Medellín
VNT-1035,2025-07-23,Camiseta básica,Camiseta,S,Beige,90.86,2,Transferencia,Medellín
VNT-1036,2025-07-25,Vestido casual,Vestido,S,Verde,31.12,2,Transferencia,Cali
VNT-1037,2025-03-26,Camisa formal,Camisa,M,Verde,72.41,2,Efectivo,Cali
VNT-1038,2025-04-18,Abrigo largo,Abrigo,XL,Rojo,28.73,1,Transferencia,Bogotá
VNT-1039,2025-02-25,Sudadera deportiva,Sudadera,M,Verde,56.86,4,Efectivo,Barranquilla
VNT-1040,2025-04-26,Abrigo largo,Abrigo,XS,Beige,97.29,1,Tarjeta,Bogotá
VNT-1041,2025-02-03,Camisa formal,Camisa,XS,Blanco,66.12,2,Tarjeta,Medellín
VNT-1042,2025-05-22,Blusa elegante,Blusa,L,Rojo,81.5,5,Efectivo,Bogotá
VNT-1043,2025-06-11,Sudadera deportiva,Sudadera,XL,Rojo,89.89,3,Transferencia,Cartagena
VNT-1044,2025-06-10,Chaqueta impermeable,Chaqueta,S,Azul,11.07,1,Transferencia,Bogotá
VNT-1045,2025-04-17,Chaqueta impermeable,Chaqueta,L,Verde,85.26,1,Transferencia,Medellín
VNT-1046,2025-02-22,Camiseta básica,Camiseta,M,Beige,98.29,2,Efectivo,Bogotá
VNT-1047,2025-05-02,Vestido casual,Vestido,XS,Beige,95.58,3,Efectivo,Cali
VNT-1048,2025-03-01,Sudadera deportiva,Sudadera,L,Gris,11.1,3,Efectivo,Cartagena
VNT-1049,2025-06-27,Short de verano,Short,XL,Verde,61.11,2,Efectivo,Medellín
VNT-1050,2025-06-10,Camiseta básica,Camiseta,XL,Gris,93.92,3,Efectivo,Medellín
VNT-1051,2025-06-11,Blusa elegante,Blusa,XS,Gris,57.36,2,Transferencia,Barranquilla
VNT-1052,2025-05-22,Sudadera deportiva,Sudadera,XL,Verde,92.16,2,Transferencia,Bogotá
